Newell,4.01,24000,0.0655,0.0835,0.0344,0.0003
Newell,4.01,24000,0.0696,0.0934,0.0378,0.0004
Newell,4.01,24000,0.0714,0.0945,0.0409,0.0004
Newell,4.01,24000,0.0699,0.0905,0.0376,0.0004
Newell,4.01,24000,0.0656,0.0853,0.0293,0.0003
Newell,4.01,24000,0.0653,0.0837,0.0275,0.0003
Newell,4.01,300,0.5489,0.3641,0.1709,0.0017
Newell,4.01,300,0.1238,0.2582,0.1215,0.0012
Newell,4.01,300,0.1326,0.2509,0.1316,0.0014
Newell,4.01,300,0.1229,0.2431,0.1169,0.0012
Newell,4.01,300,0.1584,0.336,0.1816,0.0019
Newell,4.01,300,0.5752,0.3983,0.1506,0.0015
Newell,4.01,300,0.1426,0.2704,0.1655,0.0017
Newell,4.01,300,0.1812,0.3108,0.1474,0.0016
Newell,4.01,300,0.1377,0.2682,0.1547,0.0016
Newell,4.01,500,0.166,0.344,0.1767,0.0017
Newell,4.01,500,0.1486,0.2568,0.1156,0.0012
Newell,4.01,500,0.149,0.3,0.1808,0.0016
Newell,4.01,500,0.1385,0.2833,0.1533,0.0015
Newell,4.01,500,0.1469,0.2732,0.17,0.0017
Newell,4.01,500,0.1323,0.2549,0.1236,0.0012
Newell,4.01,500,0.5519,0.4294,0.1432,0.0016
Newell,4.01,500,0.1291,0.2603,0.133,0.0012
Newell,4.01,500,0.1248,0.225,0.1491,0.0012
Newell,4.01,500,0.1184,0.2405,0.1297,0.0013
Newell,4.01,1000,0.1489,0.2914,0.1123,0.0011
Newell,4.01,1000,0.1246,0.2281,0.1202,0.0012
